content,label,tokenizing
"Saya pertama kali coba aplikasi dan sangat kecewa. Saya pesan bd-bks dan sudah transfer. Tapi tidak dapat tiket. Hanya kekecewaan. Sudah bayar, pesanan dijawab kadaluwarsa. Ini penggelapan atau penipuan terstruktur ya.... Biaya yg saya bayarkan pun tidak langsung kembali utk beli tiket lain. Maaf ya PT KAI. Walaupun saya pelanggan setiamu, tapi kali ini cukup dg Bintang satu, sebuah bintang yg jarang ku berikan.",Negative,"['coba', 'aplikasi', 'kecewa', 'pesan', 'bks', 'transfer', 'tiket', 'kecewa', 'bayar', 'pesan', 'kadaluwarsa', 'gelap', 'tipu', 'struktur', 'biaya', 'bayar', 'langsung', 'beli', 'tiket', 'maaf', 'kai', 'langgan', 'setia', 'bintang', 'buah', 'bintang', 'ikan']"
"app in sering bikin jantung berdebar-debar gara2 setelah proses bayar, cek tiket nggak langsung muncul di halaman utama bagi pemesanan tiket KA lokal seperti Commuter Line. Juga tidak bisa login multidevice jadi kudu login ulang kalo pindah pake hp lain. Lain2 mudah, semoga kedepannya bisa lebih responsif dan metode pembayaran non tunai lain semisal gop*** lin*""ja, da** dkk. bisa dimasukkan ke app ini",Negative,"['aplikasi', 'bikin', 'jantung', 'debar', 'debar', 'gara', 'proses', 'bayar', 'cek', 'tiket', 'langsung', 'muncul', 'halaman', 'utama', 'mesan', 'tiket', 'kakak', 'lokal', 'commuter', 'line', 'login', 'multidevice', 'login', 'ulang', 'pindah', 'pakai', 'mudah', 'moga', 'responsif', 'metode', 'bayar', 'non', 'tunai', 'gop', 'lin', 'kawan-kawan', 'masuk', 'aplikasi']"
"Bikin apk seperti niat tidak niat, saya udh daftar mau pesan tiket di persulit terus, mau hapus akun karna susah verifikasi ngestuck di kode otp, ini apk maunya apa sih? Mempermudah ga ada mudah² nya sama sekali. Plis lah klo emg belum berkembang jangan bikin orang² sulit dengan membuat peraturan pembelian tiket online, pusing jadi susah mau naik transportasi umum",Negative,"['bikin', 'aplikasi', 'niat', 'niat', 'daftar', 'pesan', 'tiket', 'sulit', 'hapus', 'akun', 'susah', 'verifikasi', 'stuck', 'kode', 'otp', 'aplikasi', 'mudah', 'mudah', 'plis', 'kembang', 'bikin', 'orang', 'sulit', 'atur', 'beli', 'tiket', 'online', 'pusing', 'susah', 'transportasi']"
"Pembatalan tiket sangat Dipersulit, tidak Fleksibel. Harus nya akun KAI Acces bisa mempermudah pemilik. Tapi trnyata sama saja, punya akun dan tidak punya akun sama saja. KAI ingin pembatalan bisa menutup biaya nya",Negative,"['batal', 'tiket', 'sulit', 'fleksibel', 'akun', 'kai', 'acces', 'mudah', 'milik', 'trnyata', 'akun', 'akun', 'kai', 'batal', 'tutup', 'biaya']"
"KAI perusahaan besar dan bonafide, perombakan besar²an dilakukan, sekarang telah tertata rapi mulai management terkecil sampai bahkan ketepatan waktu tiba dan pemberangkatan waktu sangat diacungi jempol. semua lancar. Namun sangat disayangkan untuk kemudahan dalam akses pertiketan di aplikasi, sangat-sangat memprihatinkan. Saatnya perombakan dilakukan. Aplikasi ini yg membuat naik darah",Negative,"['kai', 'usaha', 'besar', 'bonafide', 'ombak', 'besar', 'laku', 'tata', 'rapi', 'management', 'berangkat', 'acung', 'jempol', 'lancar', 'sayang', 'mudah', 'akses', 'tiket', 'aplikasi', 'prihatin', 'ombak', 'laku', 'aplikasi', 'darah']"
"Setelah di-update banyak sekali masalah dan bug, sampai tidak bisa buka tiket kereta yg sudah dibeli, meskipun sudah saya uninstall dan saya download kembali tetap sama, tolong diperbaiki dengan cepat. Padahal besok saya harus naik kereta tapi aplikasi tidak bisa digunakan",Negative,"['perbarui', 'bug', 'buka', 'tiket', 'kereta', 'beli', 'uninstall', 'download', 'tolong', 'cepat', 'besok', 'kereta', 'aplikasi']"
"Seringkali aplikasi tidak berjalan lancar terutama saat mencari tiket kereta. Loading data daftar tiket sangat lama sampai aplikasinya macet dan tidak merespon input dari user. Secara user experience masih buruk. Ketika ingin menerapkan filter daftar tiket, saya harus scroll sampai paling bawah untuk bisa meng-klik tombol 'Terapkan'. Seharusnya tombol 'Terapkan' tersebut bisa dibuat melayang saja sehingga tidak perlu scroll-scroll lagi.",Negative,"['seringkali', 'aplikasi', 'jalan', 'lancar', 'utama', 'cari', 'tiket', 'kereta', 'loading', 'data', 'daftar', 'tiket', 'aplikasi', 'macet', 'merespon', 'input', 'user', 'user', 'experience', 'buruk', 'terap', 'filter', 'daftar', 'tiket', 'scroll', 'meng', 'klik', 'tombol', 'terap', 'tombol', 'terap', 'layang', 'scroll', 'scroll']"
"Pembayaran QRIS masih bermasalah, saya barusan pesan tiket dengan metode pembayaran QRIS. Di mutasi rekening sudah debit tetapi aplikasi tidak mendeteksi secara otomatis dan akhirnya pemesanan gagal. Bingung mau hubungi customer service tetapi tidak tersedia lewat media sosial, terhitung rugi duit hilang gara2 sistem kurang bagus. Perbaiki kembali untuk sistem pembayaran QRIS",Negative,"['bayar', 'qris', 'barusan', 'pesan', 'tiket', 'metode', 'bayar', 'qris', 'mutasi', 'rekening', 'debit', 'aplikasi', 'deteksi', 'otomatis', 'mesan', 'gagal', 'bingung', 'hubung', 'customer', 'service', 'sedia', 'media', 'sosial', 'hitung', 'rugi', 'uang', 'hilang', 'gara', 'sistem', 'bagus', 'sistem', 'bayar', 'qris']"
Aplikasi terlalu lemot. Mohon untuk di perbaiki dan di sesuaikan agar lebih kompatibel dg hp android yg bisa install aplikasi ini serta bisa lebih memudahkan calon penumpang yg ingin memesan tiket secara online.,Negative,"['aplikasi', 'lambat', 'mohon', 'sesuai', 'kompatibel', 'android', 'install', 'aplikasi', 'mudah', 'calon', 'tumpang', 'mes', 'tiket', 'online']"
"App ini cuma lancar untuk pembelian tiket KA bandara. untuk pembelian tiket KA jarak jauh dan lokal error terus. setiap kali memasukkan data penumpang keluar warning idnum already exist. sepertinya aplikasinya bego, karena kalau kita sudah punya akun, pasti IDnya akan kepake terus kan ya. sudah begitu opsi pembayarannya terbatas. jauh lebih simple pakai Traveloka dan GoTransit. plis lah KAI, dibenerin aplikasinya.",Negative,"['aplikasi', 'lancar', 'beli', 'tiket', 'kakak', 'bandara', 'beli', 'tiket', 'kakak', 'jarak', 'lokal', 'error', 'masuk', 'data', 'tumpang', 'warning', 'idnum', 'already', 'exist', 'aplikasi', 'bodoh', 'akun', 'idnya', 'kepake', 'opsi', 'bayar', 'batas', 'simple', 'pakai', 'traveloka', 'gotransit', 'plis', 'kai', 'dibenerin', 'aplikasi']"
"Awal pake aplikasi ini sangat efisien dan baik tapi tidak berlaku seterus nya, krn skrg sudah tidak bisa dipakai untuk pemesanan tiket, keterangan nya tidak bisa pesan tiket lebih dt 15 pdhl sy cm pesen untuk 1 org saja itupun seminggu 1x - 2x, sudah coba tanya pegawai nya lgsg di stasiun tp jawaban nya diminta tggu beberapa hari dan penyebab dr aplikasi tsb eror dikarnakan sering dipakai, tetap sy coba ikuti tp sdh lewat 1 mggu lebih msh sama saja, jadi sy kasih bintang 1 dulu sementara.",Negative,"['pakai', 'aplikasi', 'efisien', 'laku', 'pakai', 'mesan', 'tiket', 'terang', 'pesan', 'tiket', 'pesan', 'orang', 'coba', 'pegawai', 'langsung', 'stasiun', 'tunggu', 'aplikasi', 'eror', 'dikarnakan', 'pakai', 'coba', 'mggu', 'kasih', 'bintang']"
"Mohon dicek apakah ada permasalahan pada aplikasinya. Saya sudah berulang kali login tapi tidak bisa masuk, tulisan notifikasinya invalid token. Sedangkan saat pemesanan tiket sudah memesan tiket, pembayaran berhasil namun QR Code boarding passnya tidak ada dan tidak ditemukan keterangan daftar penumpang.",Negative,"['mohon', 'cek', 'aplikasi', 'ulang', 'login', 'masuk', 'tulis', 'notifikasi', 'invalid', 'token', 'mesan', 'tiket', 'mes', 'tiket', 'bayar', 'hasil', 'code', 'boarding', 'passnya', 'temu', 'terang', 'daftar', 'tumpang']"
"Beli tiket untuk orang tua, Ingin merubah jadwal tiket tertulis ""penjadwalan ulang tidak dapat dilakukan, karena data pemilik akun tidak berada dalam daftar penumpang. Mohon melakukan penjadwalan ulang di stasiun"" apa gunanya ada aplikasi, sudah daftar akun premium namun fasilitas sangat terbatas. Semoga segera diperbaiki pelayanan di aplikasi. Terima kasih.",Negative,"['beli', 'tiket', 'orang', 'tua', 'rubah', 'jadwal', 'tiket', 'tulis', 'jadwal', 'ulang', 'laku', 'data', 'milik', 'akun', 'daftar', 'tumpang', 'mohon', 'laku', 'jadwal', 'ulang', 'stasiun', 'aplikasi', 'daftar', 'akun', 'premium', 'fasilitas', 'batas', 'moga', 'layan', 'aplikasi', 'terima', 'kasih']"
"Saat memesan tiket KA lokal lalu pembayaran gagal, maka tiket yang gagal tersebut akan masuk ke kolom bagian menunggu, dan hal tersebut tidak bisa dibatalkan sehingga harus menunggu dan lebih parahnya lagi biaya tetap terbayarkan dan tidak kembali, jadi saya harus membayar 2 kali lipat dari harga normal. Saya harap developer KAI Access segera memperbaiki hal ini, meskipun kerugian yang saya alami termasuk murah, akan tetapi jika terjadi berulang kali maka akan jadi besar juga. Saya sudah 2 kali",Negative,"['mes', 'tiket', 'kakak', 'lokal', 'bayar', 'gagal', 'tiket', 'gagal', 'masuk', 'kolom', 'tunggu', 'hal', 'batal', 'tunggu', 'parah', 'biaya', 'bayar', 'bayar', 'lipat', 'harga', 'normal', 'harap', 'developer', 'kai', 'access', 'hal', 'rugi', 'alami', 'masuk', 'murah', 'ulang', 'besar']"
"Pengalaman buruk yang barusan saya Alami dengan perjalanan KAI selama ini entah yang salah Aplikasi ini atau siapa kami membeli tiket lewat KAI Access -6 hari sebelum berangkat awalnya normal saya pemesanan tiket, barcode tiket ada. Setelah hari H mau berangkat sudah sampai Stasiun saya cek di aplikasi ini KAI Access tiba2 tiket tidak bisa dibuka dan Ss tidak berlaku di stasiun tersebut... Saya benar benar kecewa sekali dengan pelayanan ini",Negative,"['alam', 'buruk', 'barusan', 'alami', 'jalan', 'kai', 'salah', 'aplikasi', 'beli', 'tiket', 'kai', 'access', 'berangkat', 'normal', 'mesan', 'tiket', 'barcode', 'tiket', 'berangkat', 'stasiun', 'cek', 'aplikasi', 'kai', 'access', 'tiket', 'buka', 'laku', 'stasiun', 'kecewa', 'layan']"
"Pengalaman Pesan tiket melalui aplikasi KAI Acces malam hari untuk esok harinya. Stasiun pemberangkatan cepu blora pemberhentian semarang poncol Nilai Rp 65.000 lunas. Nah setelah boarding pas ternyata tertulis naik dari stasiun wadu. Walaupun nilai bayarnya sama (naik dari cepu maupun wadu) tapi tetap wajib beli tiket cepu - wadu Rp 50.000 (jarak 10 km). Sehingga harus keluar kocek kereta Blora Jaya total Rp 115.000. Bayangkan kalau penumpang yang tak bawa uang cukup, bisa2 tak jadi berangka",Negative,"['alam', 'pesan', 'tiket', 'aplikasi', 'kai', 'acces', 'malam', 'esok', 'stasiun', 'berangkat', 'cepu', 'blora', 'henti', 'semarang', 'poncol', 'nilai', 'lunas', 'boarding', 'nyata', 'tulis', 'stasiun', 'wadu', 'nilai', 'bayar', 'cepu', 'wadu', 'wajib', 'beli', 'tiket', 'cepu', 'wadu', 'jarak', 'kocek', 'kereta', 'blora', 'jaya', 'total', 'bayang', 'tumpang', 'bawa', 'uang', 'angka']"
"Aplikasi bobrok, segera benahi aplikasi mu, no hp sya mati, tapi aplikasinya gak bisa buat pindah ke no HP baru, akhirnya gak bisa dapat kode verivikasi pemesanan tiket. KECEWA.",Negative,"['aplikasi', 'bobrok', 'benah', 'aplikasi', 'nomor', 'mati', 'aplikasi', 'pindah', 'nomor', 'kode', 'verivikasi', 'mesan', 'tiket', 'kecewa']"
"akun nya sering banget keluar sendiri, gak jelas. bisa ngehambat dan bikin orang yg lagi buru buru beli tiket, masih mending kalau ketika itu masih inget password, lahh kalau lupa, bisa bikin telat penumpang",Negative,"['akun', 'ngehambat', 'bikin', 'orang', 'buru', 'buru', 'beli', 'tiket', 'inget', 'password', 'lahh', 'lupa', 'bikin', 'terlambat', 'tumpang']"
