content,label,tokenizing
"Mohon tingkatkan kembali kualitasnya baik performa, pembayaran, waktu, dan sebagainya Saya senang ada aplikasi seperti ini memudahkan untuk mencari tiket kereta api dan mudah",Positive,"['mohon', 'tingkat', 'kualitas', 'performa', 'bayar', 'senang', 'aplikasi', 'mudah', 'cari', 'tiket', 'kereta', 'api', 'mudah']"
"Saya ada sedikit masalah setelah meng-update aplikasi ke versi terbaru (4.0.1), masalahnya adalah no.KTP saya yg semula benar di aplikasi versi sebelumnya berubah menjadi salah (berkurang 2 digit nomornya) dan TIDAK BISA diedit/ diubah untuk penumpang 1. Sehingga tidak bisa melanjutkan untuk pemesanan tiketnya, karena hanya 14 digit. Tolong KAI Bagaimana ini solusinya?",Positive,"['meng', 'perbarui', 'aplikasi', 'versi', 'nomor', 'ktp', 'aplikasi', 'versi', 'ubah', 'salah', 'digit', 'nomor', 'edit', 'ubah', 'tumpang', 'mesan', 'tiket', 'digit', 'tolong', 'kai', 'solusi']"
"Kemarin sempat kasih ⭐️1 alhamdulillah sekarang aplikasi udah lebih baik, udah lancar & mudah beli tiket, beli makanan di kereta jarak jauh juga lancar, seneng deh 👍😀⭐️⭐️⭐️⭐️⭐️",Positive,"['kemarin', 'kasih', 'aplikasi', 'lancar', 'mudah', 'beli', 'tiket', 'beli', 'makan', 'kereta', 'jarak', 'lancar', 'neng', 'deh']"
"Aplikasinya udah bagus. Saya suka fitur untuk menyimpan daftar penumpang, pas pesan tiket tinggal klik klik jd lebih cepat saat proses pemesanan.",Positive,"['aplikasi', 'bagus', 'suka', 'fitur', 'simpan', 'daftar', 'tumpang', 'pesan', 'tiket', 'tinggal', 'klik', 'klik', 'cepat', 'proses', 'mesan']"
Menurutku app ini sangat berguna saat kita mau pesan tiket dan mengetahui jadwal kereta. Mgkin pada awalnya agak susah menggunakan krn blum paham KA kota dan KA lokal. Aku senang ada app seperti ini krn sangat membantu. Semoga ke depannya bisa lebih baik.,Positive,"['aplikasi', 'pesan', 'tiket', 'jadwal', 'kereta', 'susah', 'paham', 'kakak', 'kota', 'kakak', 'lokal', 'senang', 'aplikasi', 'bantu', 'moga']"
Travel salah beli jurusan..samperin petugas d dlm kereta gmn cara agar bs beli tiket utk k stasiun tujuan..maka install lah aplikasi ini.. Alhamdulillah terbantu lgsg bs beli tiket nyambung sampai k stasiun yg ingin dituju,Positive,"['travel', 'salah', 'beli', 'jurus', 'samperin', 'tugas', 'kereta', 'beli', 'tiket', 'stasiun', 'tuju', 'install', 'aplikasi', 'bantu', 'langsung', 'beli', 'tiket', 'nyambung', 'stasiun', 'tuju']"
"Aplikasi nya bagus, mempermudah dalam pembelian tiket kereta. Kalau bisa sih tambahin fitur rute favorite biar cepat mengubah ubah rute nya soalnya harus scroll2 cari rute nya kalau mau cek jadwal rute lain",Positive,"['aplikasi', 'bagus', 'mudah', 'beli', 'tiket', 'kereta', 'tambahin', 'fitur', 'favorite', 'biar', 'cepat', 'ubah', 'ubah', 'scroll', 'cari', 'cek', 'jadwal']"
"Sejauh yang digunakan untuk pesan tiket, ga ada kendala. Awal'a bingung tpi lgsg dtg ke PJKA dibimbing oleh mbak yg jual tiket. Smoga KAl smkin baik",Positive,"['pesan', 'tiket', 'kendala', 'bingung', 'langsung', 'pjka', 'bimbing', 'mbak', 'jual', 'tiket', 'smoga', 'kal', 'smkin']"
"Sangat membantu selama masih tersedia tempat duduk, bisa booking tiket KAI 3 jam sebelum berangkat. Tapi sangat menggemaskan saat pesan tiket KAI untuk lebaran, kaya main game aja gemesss deh...",Positive,"['bantu', 'sedia', 'duduk', 'pesan', 'tiket', 'kai', 'jam', 'berangkat', 'gemas', 'pesan', 'tiket', 'kai', 'lebaran', 'kaya', 'main', 'game', 'gemesss', 'deh']"
"Aplikasi ini cukup bagus, sekelas aplikasi Nasional. Mengapa tdk ada fitur komplain/kritik di dalam aplikasi admin? Misal ada pelayanan counter check in tiket kurang bagus, dll.",Positive,"['aplikasi', 'bagus', 'kelas', 'aplikasi', 'nasional', 'fitur', 'komplain', 'kritik', 'aplikasi', 'admin', 'layan', 'counter', 'check', 'tiket', 'bagus', 'lain-lain']"
"Ini sngt memudHkan kitaa utk mengakses tiket, tetapi utk masa/waktu kadaluarsanya cpt sekali, jadinya kalau mau merubah tempat duduk agak susah👍👍",Positive,"['sngt', 'memudhkan', 'kitaa', 'akses', 'tiket', 'kadaluarsanya', 'cpt', 'rubah', 'duduk', 'susah']"
Aplikasi KAi access kaget sekali sudah banyak mengalami kemajuan. Tanpa ke cs bs pembatalan tiket. Thanks,Positive,"['aplikasi', 'kai', 'access', 'kaget', 'alami', 'maju', 'batal', 'tiket', 'terima', 'kasih']"
"akses dari cikampek ataupun dawuan cikampek/klari cikampek tujuan ke Yogyakarta/surabaya/jatinegara di adain dan terjangkau no transit..tambahin byk pembayaran seperti marketplace: gopay,virtual account,indo alfa,dll. loading saat pencarian harus banyak varian agar user friendly dan fast tdk mmbosankan. info dan kndala layanan di conectkan agar ada problem mudah dilayani konsul dapat tiket cepat solusinya.. transparan sprti ini 1pintu keren memudahkn informasi pengguna. akurat real simple cepat.",Positive,"['akses', 'cikampek', 'dawuan', 'cikampek', 'klari', 'cikampek', 'tuju', 'yogyakarta', 'surabaya', 'jatinegara', 'adain', 'jangkau', 'nomor', 'transit', 'tambahin', 'bayar', 'marketplace', 'gopay', 'virtual', 'account', 'indo', 'alfa', 'lain-lain', 'loading', 'cari', 'varian', 'user', 'friendly', 'fast', 'mmbosankan', 'informasi', 'kndala', 'layan', 'conectkan', 'mudah', 'layan', 'konsul', 'tiket', 'cepat', 'solusi', 'transparan', 'pintu', 'keren', 'memudahkn', 'informasi', 'real', 'simple', 'cepat']"
"Mudah, simple, pilihan pembayaran lumayan banyak, ga perlu cetak tiket Bisa pesan makanan juga dari aplikasi",Positive,"['mudah', 'simple', 'pilih', 'bayar', 'lumayan', 'cetak', 'tiket', 'pesan', 'makan', 'aplikasi']"
"Saldo baru isi tgl 2,, tp skrng knp eror ya,, dr kemren gk bisa buat bayar tiket,,,, tolong jngan di persulit dong, jd gk bisa pulang kmpung minggu ini,,,",Positive,"['saldo', 'isi', 'tanggal', 'eror', 'kemren', 'bayar', 'tiket', 'tolong', 'jngan', 'sulit', 'pulang', 'kmpung']"
"Alhamdulillah setelah update versi terbaru, kendala saya yang tidak bisa booking tiket secara online sudah teratasi, semoga kedepannya menjadi lebih baik, semangat terus buat developer, good job",Positive,"['perbarui', 'versi', 'kendala', 'pesan', 'tiket', 'online', 'moga', 'semangat', 'developer', 'bagus', 'job']"
"Yg kasi bintang satu bilang aja lu gangerti pake aplikasi ini, BLOKKKK !!!! Skrg makin mudah kok bnayak alternatif lu pesan tiket atau bayar tiket, pelayanan bagus, bersih, manusiawi.",Positive,"['kasi', 'bintang', 'bilang', 'gangerti', 'pakai', 'aplikasi', 'blokkkk', 'mudah', 'bnayak', 'alternatif', 'pesan', 'tiket', 'bayar', 'tiket', 'layan', 'bagus', 'bersih', 'manusiawi']"
"Min, izin mau nanya kenapa pada saat saya ingin membeli tiketnya kok aplikasi nya selalu keluar sendiri ya? Padahal udah di update dll tapi tetap sama juga keluar sendiri",Positive,"['admin', 'izin', 'beli', 'tiket', 'aplikasi', 'perbarui', 'lain-lain']"
"Alhamdulillah naik kereta lagi setelah sekian tahun gak naik kereta, perdana beli tiket pakai aplikasi ini dan bagus banget, pelayanan kereta nya juga bertambah baik sekali terimakasih PT KAI ^^",Positive,"['kereta', 'kereta', 'perdana', 'beli', 'tiket', 'pakai', 'aplikasi', 'bagus', 'layan', 'kereta', 'terimakasih', 'kai']"
"Pelayanan nya bagus sangat membantu,hemat kertas tiketnya. Tp selama beberapa hari ini saya kesulitan krna tiba2 kai acces nya berubah,lbh sering lemot dn server penuh. Cara kembalikan k versi yg sebelumnya gmna ya? Soalnya saya tiba2 versi 4.0.1 dan ada pengembangan versi 62. Maksudnya gmna??",Positive,"['layan', 'bagus', 'bantu', 'hemat', 'kertas', 'tiket', 'sulit', 'kai', 'acces', 'ubah', 'lbh', 'lambat', 'server', 'penuh', 'versi', 'versi', 'kembang', 'versi', 'maksud']"
"Aplikasi sangat memudahkan pemesanan tiket 👍🏻👍🏻👍🏻 tapi, jangan coba-coba klik tambahan layanan Taksi. gak ada alert berhasil atau gagal tiba-tiba ditelponin dari bluebird katanya kita mesen. pas dicari riwayatnya pun tidak ada. sumpah gak jelas banget, orang baru turun dari kereta malah kesel.",Positive,"['aplikasi', 'mudah', 'mesan', 'tiket', 'coba', 'coba', 'klik', 'layan', 'taksi', 'alert', 'hasil', 'gagal', 'ditelponin', 'bluebird', 'mesen', 'cari', 'riwayat', 'sumpah', 'orang', 'turun', 'kereta', 'kesel']"
Mantap KAI jangan lemot lemot ya. Dan jangan mahal mahal tiketnya. Kasihan masyarakat ter,Positive,"['mantap', 'kai', 'lambat', 'lambat', 'mahal', 'mahal', 'tiket', 'kasihan', 'masyarakat', 'ter']"
Aplikasi mudah di gunakan. Sayang agak loding update tiket keretanya. Padahal sy mau ganti jam. Gak tau ini bisa apa nggak,Positive,"['aplikasi', 'mudah', 'sayang', 'loding', 'perbarui', 'tiket', 'kereta', 'ganti', 'jam']"
