,content,cleaning,normalize,removal,tokenizing,polarity_score,polarity
0,"Saya pertama kali coba aplikasi dan sangat kecewa. Saya pesan bd-bks dan sudah transfer. Tapi tidak dapat tiket. Hanya kekecewaan. Sudah bayar, pesanan dijawab kadaluwarsa. Ini penggelapan atau penipuan terstruktur ya.... Biaya yg saya bayarkan pun tidak langsung kembali utk beli tiket lain. Maaf ya PT KAI. Walaupun saya pelanggan setiamu, tapi kali ini cukup dg Bintang satu, sebuah bintang yg jarang ku berikan.",saya pertama kali coba aplikasi dan sangat kecewa saya pesan bd bks dan sudah transfer tapi tidak dapat tiket hanya kekecewaan sudah bayar pesanan dijawab kadaluwarsa ini penggelapan atau penipuan terstruktur ya biaya yg saya bayarkan pun tidak langsung kembali utk beli tiket lain maaf ya pt kai walaupun saya pelanggan setiamu tapi kali ini cukup dg bintang satu sebuah bintang yg jarang ku berikan,saya pertama kali coba aplikasi dan sangat kecewa saya pesan bd bks dan sudah transfer tapi tidak dapat tiket hanya kecewa sudah bayar pesan jawab kadaluwarsa ini gelap atau tipu struktur iya biaya yang saya bayar pun tidak langsung kembali untuk beli tiket lain maaf iya pt kai walaupun saya langgan setia tapi kali ini cukup dengan bintang satu buah bintang yang jarang ku ikan,coba aplikasi kecewa pesan bks transfer tiket kecewa bayar pesan kadaluwarsa gelap tipu struktur biaya bayar langsung beli tiket maaf kai langgan setia bintang buah bintang ikan,"['coba', 'aplikasi', 'kecewa', 'pesan', 'bks', 'transfer', 'tiket', 'kecewa', 'bayar', 'pesan', 'kadaluwarsa', 'gelap', 'tipu', 'struktur', 'biaya', 'bayar', 'langsung', 'beli', 'tiket', 'maaf', 'kai', 'langgan', 'setia', 'bintang', 'buah', 'bintang', 'ikan']",-2,negative
1,"app in sering bikin jantung berdebar-debar gara2 setelah proses bayar, cek tiket nggak langsung muncul di halaman utama bagi pemesanan tiket KA lokal seperti Commuter Line. Juga tidak bisa login multidevice jadi kudu login ulang kalo pindah pake hp lain. Lain2 mudah, semoga kedepannya bisa lebih responsif dan metode pembayaran non tunai lain semisal gop*** lin*""ja, da** dkk. bisa dimasukkan ke app ini",app in sering bikin jantung berdebar debar gara setelah proses bayar cek tiket nggak langsung muncul di halaman utama bagi pemesanan tiket ka lokal seperti commuter line juga tidak bisa login multidevice jadi kudu login ulang kalo pindah pake hp lain lain mudah semoga kedepannya bisa lebih responsif dan metode pembayaran non tunai lain semisal gop lin ja da dkk bisa dimasukkan ke app ini,aplikasi in sering bikin jantung debar debar gara telah proses bayar cek tiket tidak langsung muncul di halaman utama bagi mesan tiket kakak lokal seperti commuter line juga tidak bisa login multidevice jadi harus login ulang kalau pindah pakai hp lain lain mudah moga depan bisa lebih responsif dan metode bayar non tunai lain misal gop lin saja da dan kawan-kawan bisa masuk ke aplikasi ini,aplikasi bikin jantung debar debar gara proses bayar cek tiket langsung muncul halaman utama mesan tiket kakak lokal commuter line login multidevice login ulang pindah pakai mudah moga responsif metode bayar non tunai gop lin kawan-kawan masuk aplikasi,"['aplikasi', 'bikin', 'jantung', 'debar', 'debar', 'gara', 'proses', 'bayar', 'cek', 'tiket', 'langsung', 'muncul', 'halaman', 'utama', 'mesan', 'tiket', 'kakak', 'lokal', 'commuter', 'line', 'login', 'multidevice', 'login', 'ulang', 'pindah', 'pakai', 'mudah', 'moga', 'responsif', 'metode', 'bayar', 'non', 'tunai', 'gop', 'lin', 'kawan-kawan', 'masuk', 'aplikasi']",2,positive
2,"Bikin apk seperti niat tidak niat, saya udh daftar mau pesan tiket di persulit terus, mau hapus akun karna susah verifikasi ngestuck di kode otp, ini apk maunya apa sih? Mempermudah ga ada mudah² nya sama sekali. Plis lah klo emg belum berkembang jangan bikin orang² sulit dengan membuat peraturan pembelian tiket online, pusing jadi susah mau naik transportasi umum",bikin apk seperti niat tidak niat saya udh daftar mau pesan tiket di persulit terus mau hapus akun karna susah verifikasi ngestuck di kode otp ini apk maunya apa sih mempermudah ga ada mudah nya sama sekali plis lah klo emg belum berkembang jangan bikin orang sulit dengan membuat peraturan pembelian tiket online pusing jadi susah mau naik transportasi umum,bikin aplikasi seperti niat tidak niat saya sudah daftar mau pesan tiket di sulit terus mau hapus akun karena susah verifikasi stuck di kode otp ini aplikasi mau apa sih mudah tidak ada mudah nya sama sekali plis lah kalau memang belum kembang jangan bikin orang sulit dengan buat atur beli tiket online pusing jadi susah mau naik transportasi umum,bikin aplikasi niat niat daftar pesan tiket sulit hapus akun susah verifikasi stuck kode otp aplikasi mudah mudah plis kembang bikin orang sulit atur beli tiket online pusing susah transportasi,"['bikin', 'aplikasi', 'niat', 'niat', 'daftar', 'pesan', 'tiket', 'sulit', 'hapus', 'akun', 'susah', 'verifikasi', 'stuck', 'kode', 'otp', 'aplikasi', 'mudah', 'mudah', 'plis', 'kembang', 'bikin', 'orang', 'sulit', 'atur', 'beli', 'tiket', 'online', 'pusing', 'susah', 'transportasi']",-5,negative
3,"Pembatalan tiket sangat Dipersulit, tidak Fleksibel. Harus nya akun KAI Acces bisa mempermudah pemilik. Tapi trnyata sama saja, punya akun dan tidak punya akun sama saja. KAI ingin pembatalan bisa menutup biaya nya",pembatalan tiket sangat dipersulit tidak fleksibel harus nya akun kai acces bisa mempermudah pemilik tapi trnyata sama saja punya akun dan tidak punya akun sama saja kai ingin pembatalan bisa menutup biaya nya,batal tiket sangat sulit tidak fleksibel harus nya akun kai acces bisa mudah milik tapi trnyata sama saja punya akun dan tidak punya akun sama saja kai ingin batal bisa tutup biaya nya,batal tiket sulit fleksibel akun kai acces mudah milik trnyata akun akun kai batal tutup biaya,"['batal', 'tiket', 'sulit', 'fleksibel', 'akun', 'kai', 'acces', 'mudah', 'milik', 'trnyata', 'akun', 'akun', 'kai', 'batal', 'tutup', 'biaya']",-3,negative
4,"KAI perusahaan besar dan bonafide, perombakan besar²an dilakukan, sekarang telah tertata rapi mulai management terkecil sampai bahkan ketepatan waktu tiba dan pemberangkatan waktu sangat diacungi jempol. semua lancar. Namun sangat disayangkan untuk kemudahan dalam akses pertiketan di aplikasi, sangat-sangat memprihatinkan. Saatnya perombakan dilakukan. Aplikasi ini yg membuat naik darah",kai perusahaan besar dan bonafide perombakan besaran dilakukan sekarang telah tertata rapi mulai management terkecil sampai bahkan ketepatan waktu tiba dan pemberangkatan waktu sangat diacungi jempol semua lancar namun sangat disayangkan untuk kemudahan dalam akses pertiketan di aplikasi sangat sangat memprihatinkan saatnya perombakan dilakukan aplikasi ini yg membuat naik darah,kai usaha besar dan bonafide ombak besar laku sekarang telah tata rapi mulai management kecil sampai bahkan tepat waktu tiba dan berangkat waktu sangat acung jempol semua lancar namun sangat sayang untuk mudah dalam akses tiket di aplikasi sangat sangat prihatin saat ombak laku aplikasi ini yang buat naik darah,kai usaha besar bonafide ombak besar laku tata rapi management berangkat acung jempol lancar sayang mudah akses tiket aplikasi prihatin ombak laku aplikasi darah,"['kai', 'usaha', 'besar', 'bonafide', 'ombak', 'besar', 'laku', 'tata', 'rapi', 'management', 'berangkat', 'acung', 'jempol', 'lancar', 'sayang', 'mudah', 'akses', 'tiket', 'aplikasi', 'prihatin', 'ombak', 'laku', 'aplikasi', 'darah']",4,positive
5,"Setelah di-update banyak sekali masalah dan bug, sampai tidak bisa buka tiket kereta yg sudah dibeli, meskipun sudah saya uninstall dan saya download kembali tetap sama, tolong diperbaiki dengan cepat. Padahal besok saya harus naik kereta tapi aplikasi tidak bisa digunakan",setelah di update banyak sekali masalah dan bug sampai tidak bisa buka tiket kereta yg sudah dibeli meskipun sudah saya uninstall dan saya download kembali tetap sama tolong diperbaiki dengan cepat padahal besok saya harus naik kereta tapi aplikasi tidak bisa digunakan,telah di perbarui banyak sekali masalah dan bug sampai tidak bisa buka tiket kereta yang sudah beli meski sudah saya uninstall dan saya download kembali tetap sama tolong baik dengan cepat padahal besok saya harus naik kereta tapi aplikasi tidak bisa guna,perbarui bug buka tiket kereta beli uninstall download tolong cepat besok kereta aplikasi,"['perbarui', 'bug', 'buka', 'tiket', 'kereta', 'beli', 'uninstall', 'download', 'tolong', 'cepat', 'besok', 'kereta', 'aplikasi']",-1,negative
6,"Seringkali aplikasi tidak berjalan lancar terutama saat mencari tiket kereta. Loading data daftar tiket sangat lama sampai aplikasinya macet dan tidak merespon input dari user. Secara user experience masih buruk. Ketika ingin menerapkan filter daftar tiket, saya harus scroll sampai paling bawah untuk bisa meng-klik tombol 'Terapkan'. Seharusnya tombol 'Terapkan' tersebut bisa dibuat melayang saja sehingga tidak perlu scroll-scroll lagi.",seringkali aplikasi tidak berjalan lancar terutama saat mencari tiket kereta loading data daftar tiket sangat lama sampai aplikasinya macet dan tidak merespon input dari user secara user experience masih buruk ketika ingin menerapkan filter daftar tiket saya harus scroll sampai paling bawah untuk bisa meng klik tombol terapkan seharusnya tombol terapkan tersebut bisa dibuat melayang saja sehingga tidak perlu scroll scroll lagi,seringkali aplikasi tidak jalan lancar utama saat cari tiket kereta loading data daftar tiket sangat lama sampai aplikasi macet dan tidak merespon input dari user cara user experience masih buruk ketika ingin terap filter daftar tiket saya harus scroll sampai paling bawah untuk bisa meng klik tombol terap harus tombol terap sebut bisa buat layang saja sehingga tidak perlu scroll scroll lagi,seringkali aplikasi jalan lancar utama cari tiket kereta loading data daftar tiket aplikasi macet merespon input user user experience buruk terap filter daftar tiket scroll meng klik tombol terap tombol terap layang scroll scroll,"['seringkali', 'aplikasi', 'jalan', 'lancar', 'utama', 'cari', 'tiket', 'kereta', 'loading', 'data', 'daftar', 'tiket', 'aplikasi', 'macet', 'merespon', 'input', 'user', 'user', 'experience', 'buruk', 'terap', 'filter', 'daftar', 'tiket', 'scroll', 'meng', 'klik', 'tombol', 'terap', 'tombol', 'terap', 'layang', 'scroll', 'scroll']",-1,negative
7,"Pembayaran QRIS masih bermasalah, saya barusan pesan tiket dengan metode pembayaran QRIS. Di mutasi rekening sudah debit tetapi aplikasi tidak mendeteksi secara otomatis dan akhirnya pemesanan gagal. Bingung mau hubungi customer service tetapi tidak tersedia lewat media sosial, terhitung rugi duit hilang gara2 sistem kurang bagus. Perbaiki kembali untuk sistem pembayaran QRIS",pembayaran qris masih bermasalah saya barusan pesan tiket dengan metode pembayaran qris di mutasi rekening sudah debit tetapi aplikasi tidak mendeteksi secara otomatis dan akhirnya pemesanan gagal bingung mau hubungi customer service tetapi tidak tersedia lewat media sosial terhitung rugi duit hilang gara sistem kurang bagus perbaiki kembali untuk sistem pembayaran qris,bayar qris masih masalah saya barusan pesan tiket dengan metode bayar qris di mutasi rekening sudah debit tetapi aplikasi tidak deteksi cara otomatis dan akhir mesan gagal bingung mau hubung customer service tetapi tidak sedia lewat media sosial hitung rugi uang hilang gara sistem kurang bagus baik kembali untuk sistem bayar qris,bayar qris barusan pesan tiket metode bayar qris mutasi rekening debit aplikasi deteksi otomatis mesan gagal bingung hubung customer service sedia media sosial hitung rugi uang hilang gara sistem bagus sistem bayar qris,"['bayar', 'qris', 'barusan', 'pesan', 'tiket', 'metode', 'bayar', 'qris', 'mutasi', 'rekening', 'debit', 'aplikasi', 'deteksi', 'otomatis', 'mesan', 'gagal', 'bingung', 'hubung', 'customer', 'service', 'sedia', 'media', 'sosial', 'hitung', 'rugi', 'uang', 'hilang', 'gara', 'sistem', 'bagus', 'sistem', 'bayar', 'qris']",-3,negative
8,Aplikasi terlalu lemot. Mohon untuk di perbaiki dan di sesuaikan agar lebih kompatibel dg hp android yg bisa install aplikasi ini serta bisa lebih memudahkan calon penumpang yg ingin memesan tiket secara online.,aplikasi terlalu lemot mohon untuk di perbaiki dan di sesuaikan agar lebih kompatibel dg hp android yg bisa install aplikasi ini serta bisa lebih memudahkan calon penumpang yg ingin memesan tiket secara online,aplikasi terlalu lambat mohon untuk di baik dan di sesuai agar lebih kompatibel dengan hp android yang bisa install aplikasi ini serta bisa lebih mudah calon tumpang yang ingin mes tiket cara online,aplikasi lambat mohon sesuai kompatibel android install aplikasi mudah calon tumpang mes tiket online,"['aplikasi', 'lambat', 'mohon', 'sesuai', 'kompatibel', 'android', 'install', 'aplikasi', 'mudah', 'calon', 'tumpang', 'mes', 'tiket', 'online']",2,positive
9,"App ini cuma lancar untuk pembelian tiket KA bandara. untuk pembelian tiket KA jarak jauh dan lokal error terus. setiap kali memasukkan data penumpang keluar warning idnum already exist. sepertinya aplikasinya bego, karena kalau kita sudah punya akun, pasti IDnya akan kepake terus kan ya. sudah begitu opsi pembayarannya terbatas. jauh lebih simple pakai Traveloka dan GoTransit. plis lah KAI, dibenerin aplikasinya.",app ini cuma lancar untuk pembelian tiket ka bandara untuk pembelian tiket ka jarak jauh dan lokal error terus setiap kali memasukkan data penumpang keluar warning idnum already exist sepertinya aplikasinya bego karena kalau kita sudah punya akun pasti idnya akan kepake terus kan ya sudah begitu opsi pembayarannya terbatas jauh lebih simple pakai traveloka dan gotransit plis lah kai dibenerin aplikasinya,aplikasi ini cuma lancar untuk beli tiket kakak bandara untuk beli tiket kakak jarak jauh dan lokal error terus tiap kali masuk data tumpang keluar warning idnum already exist seperti aplikasi bodoh karena kalau kita sudah punya akun pasti idnya akan kepake terus kan iya sudah begitu opsi bayar batas jauh lebih simple pakai traveloka dan gotransit plis lah kai dibenerin aplikasi,aplikasi lancar beli tiket kakak bandara beli tiket kakak jarak lokal error masuk data tumpang warning idnum already exist aplikasi bodoh akun idnya kepake opsi bayar batas simple pakai traveloka gotransit plis kai dibenerin aplikasi,"['aplikasi', 'lancar', 'beli', 'tiket', 'kakak', 'bandara', 'beli', 'tiket', 'kakak', 'jarak', 'lokal', 'error', 'masuk', 'data', 'tumpang', 'warning', 'idnum', 'already', 'exist', 'aplikasi', 'bodoh', 'akun', 'idnya', 'kepake', 'opsi', 'bayar', 'batas', 'simple', 'pakai', 'traveloka', 'gotransit', 'plis', 'kai', 'dibenerin', 'aplikasi']",-1,negative
